酒蔵,元データ,処理,理由,統合先
福美人酒造,福美人 上撰 720ml 福美人 恵比寿庫 えびすぐら 【 福美人酒造株式会社 】,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
福美人酒造,"福美人 上撰 さけパック 2,000ml",SKU統合,容量・包装・商品コード違いを商品単位へ統合,上撰 さけパック
福美人酒造,福美人 大吟醸 300ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸
福美人酒造,"福美人 大吟醸 蔵乃華 （ くらのはな ） 1,800ml [ 特製桐箱入 ]",SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 蔵乃華 （ くらのはな ）
福美人酒造,福美人 大吟醸 蔵乃華 （ くらのはな ） 720ml [ 特製桐箱入 ],SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 蔵乃華 （ くらのはな ）
福美人酒造,"福美人 大吟醸 西條酒造学校 1,800ml [ 化粧箱入 ]",SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 西條酒造学校
福美人酒造,福美人 大吟醸 西條酒造学校 720ml [ 化粧箱入 ],SKU統合,容量・包装・商品コード違いを商品単位へ統合,大吟醸 西條酒造学校
福美人酒造,"福美人 本醸造 舞 1,800ml 福美人 恵比寿庫 えびすぐら 【 福美人酒造株式会社 】",SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 舞
福美人酒造,福美人 特別純米酒「ひめあま」 720ml 【あまくちの純米】,SKU統合,容量・包装・商品コード違いを商品単位へ統合,特別純米酒「ひめあま」
福美人酒造,"福美人 純米吟醸 1,800ml 福美人 恵比寿庫 えびすぐら 【 福美人酒造株式会社 】",SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
福美人酒造,福美人 純米吟醸 720ml 福美人 恵比寿庫 えびすぐら 【 福美人酒造株式会社 】,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
福美人酒造,"福美人 純米酒 1,800ml 福美人 恵比寿庫 えびすぐら 【 福美人酒造株式会社 】",未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
福美人酒造,福美人 純米酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒
福美人酒造,福美人 蔵内限定 甘いくちどけ 豊醇原酒 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
西條鶴醸造,2025年西條鶴特別純米酒『 アートラベル -渦炎- 』 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
西條鶴醸造,【季節限定酒】純米にごり酒（微発泡タイプ生酒）,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米にごり酒（微発泡タイプ生酒）
西條鶴醸造,【数量限定】純米吟醸「雄町・秋あがり」,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸「雄町・秋あがり」
西條鶴醸造,【純米原酒プレミアム13】新・生酛純米原酒「Natural」,SKU統合,容量・包装・商品コード違いを商品単位へ統合,新・生酛純米原酒「Natural」
西條鶴醸造,令和7年「新酒･しぼりたて」純米生原酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米生原酒
西條鶴醸造,吟醸酒「ゴールド西條鶴」,SKU統合,容量・包装・商品コード違いを商品単位へ統合,吟醸酒「ゴールド西條鶴」
西條鶴醸造,広島流辛口吟醸 吟醸生酒,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島流辛口吟醸 吟醸生酒
西條鶴醸造,純米『愛山』70,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米『愛山』70
西條鶴醸造,純米吟醸「大地の冠」,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸「大地の冠」
西條鶴醸造,純米吟醸「大地の冠」1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸「大地の冠」
西條鶴醸造,純米大吟醸「西鶴」,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸「西鶴」
西條鶴醸造,純米大吟醸原酒「神髄」1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸原酒「神髄」
西條鶴醸造,純米大吟醸原酒「神髄」180ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸原酒「神髄」
西條鶴醸造,純米大吟醸原酒「神髄」500ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸原酒「神髄」
西條鶴醸造,純米大吟醸原酒「神髄」720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸原酒「神髄」
西條鶴醸造,純米大吟醸原酒「飛天空」,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸原酒「飛天空」
西條鶴醸造,純米生原酒,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米生原酒
西條鶴醸造,純米酒「大地の風」,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒「大地の風」
西條鶴醸造,純米酒「大地の風」1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米酒「大地の風」
西條鶴醸造,西條鶴 純米大吟醸原酒神髄720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸原酒「神髄」
西條鶴醸造,西條鶴 酒蔵限定酒 のみ比べ,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
西條鶴醸造,西條鶴「夏のららら」純米吟醸 火入 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
西條鶴醸造,辛口純米酒『きんさいや』,SKU統合,容量・包装・商品コード違いを商品単位へ統合,辛口純米酒『きんさいや』
西條鶴醸造,酒蔵限定酒・杜氏入魂無濾過純米生酒,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
西條鶴醸造,酒蔵限定酒・無濾過純米吟醸生酒,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
西條鶴醸造,酒蔵限定酒・無濾過純米生酒,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
