酒蔵,商品名,容量ml,JAN,商品コード,価格円税込,販売状態,在庫状態,販売チャネル,業務卸可否,輸出可否,要冷蔵,確認日,主出典ID,出典種別,URL,出典数,代替URL,備考
白牡丹酒造,【日本酒 白牡丹】純米酒 １．８Ｌ瓶詰,1800,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_5547816F64AB,official_ec,https://hakubotan.shop-pro.jp/?pid=108333101,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米酒 ３００ml瓶詰,300,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_4B478F14E579,official_ec,https://hakubotan.shop-pro.jp/?pid=108333115,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米酒 ７２０ml瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_68E074769534,official_ec,https://hakubotan.shop-pro.jp/?pid=108333106,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】華 純米吟醸 720ml瓶【輸出専用】 - 白牡丹酒造,720,,,,不明,不明,輸出限定,未確認,確認済み,不明,2026-09-05,CSKU_C9C6C6D6EE35,official_catalog,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e8%8f%af%e3%80%80%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8%e3%80%80-300ml%e7%93%b6%e3%80%90%e8%bc%b8%e5%87%ba%e5%b0%82%e7%94%a8/,1,,公式商品カタログの限定区分
白牡丹酒造,【日本酒 白牡丹】超特撰1.8L瓶詰化粧箱入 （２本詰） TA-50,1800,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_AC7078391C94,official_ec,https://hakubotan.shop-pro.jp/?pid=108363133,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】超特撰純金箔入1.8L瓶詰 TA-30Ｋ,1800,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_C1B59B4133F0,official_ec,https://hakubotan.shop-pro.jp/?pid=108363130,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】長期低温熟成 大吟醸 FLUSSO,720,,,148500,不明,不明,輸出限定,未確認,確認済み,不明,2026-09-05,CSKU_8ACCDBDA3B26,official_catalog,https://www.hakubotan.co.jp/products/,1,,公式商品カタログの限定区分
白牡丹酒造,【日本酒 藝陽男山】生酛純米酒 夏仕込み おりがらみ 720ml瓶詰 - 白牡丹酒造,720,4950198991573,,2200,不明,不明,流通限定,未確認,未確認,不明,2026-09-05,CSKU_4F116420B795,official_catalog,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e3%81%8a%e3%82%8a%e3%81%8c/,1,,公式商品カタログの限定区分
白牡丹酒造,【日本酒 藝陽男山】生酛純米酒 夏仕込み 生酒 720ml瓶詰 - 白牡丹酒造,720,4950198981574,,2200,不明,不明,流通限定,未確認,未確認,要冷蔵,2026-09-05,CSKU_191B4815F95D,official_catalog,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e7%94%9f%e9%85%92-720ml%e7%93%b6/,1,,公式商品カタログの限定区分
白牡丹酒造,【藝陽男山】生もと純米酒 夏仕込み おりがらみ ７２０ｍｌ瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_AB9F601FFD74,official_ec,https://hakubotan.shop-pro.jp/?pid=185934885,1,,公式EC掲載
