酒蔵,ブランド,シリーズ,主要銘柄,商品名,分類,甘辛目安,日本酒度,精米歩合,アルコール度数,飲み方,使用米,容量,参考価格,流通区分,備考,出典URL
賀茂泉酒造,賀茂泉,,,次郎丸井水,その他,不明,,,,冷酒 / 熱燗 / 燗酒,,,,一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188379071
賀茂泉酒造,賀茂泉,,,緑泉本仕込,その他,不明,,60%,15～15.9度,ロック,広島八反・新千本(国産米100%),"300ml / 720ml / 1,800ml","649～2,970円",一般流通,公式オンラインショップで販売確認,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,,朱泉普通酒,普通酒・上撰,やや辛口,+1.5,75%,15.0〜15.9度,冷酒 / ぬる燗 / 熱燗 / 燗酒,広島八反・酒造用米(国産米100%),"1,800ml","2,215～2,246円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188378827
賀茂泉酒造,賀茂泉,,,緑泉普通酒,普通酒・上撰,中口,+0.5,75%,15.0〜15.9度,冷酒 / 熱燗 / 燗酒,広島八反・酒造用米(国産米100%),"1,800ml","1,962～1,978円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188379527
賀茂泉酒造,賀茂泉,,,純米及川,純米,不明,,,15度,冷酒 / 冷やして / 常温 / 燗酒,国産米100%,"720ml / 1,800ml","1,650～2,970円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=151187597
賀茂泉酒造,賀茂泉,,,純米酒｢広大｣,純米,不明,,,,要確認,,"1,800ml","2,640円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188370634
賀茂泉酒造,賀茂泉,,,造賀純米生酒,純米,不明,,70%,15度,ロック,東広島市造賀地区産山田錦100%,"720ml / 1,800ml","1,595～3,080円",季節商品,,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,,造賀純米酒 ひやおろし,純米,不明,,70%,15度,ロック,東広島造賀地区産山田錦100%,,,季節商品,,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,,青泉 本仕込 生酒,純米,不明,,,,ロック,,300ml / 720ml,"726～1,815円",季節商品,公式オンラインショップで販売確認 / 2026-08-07公式直売所で販売案内,https://online.kamoizumi.com/?pid=191995192
賀茂泉酒造,賀茂泉,,,純米吟醸「古酒」,純米吟醸,やや辛口,+1.5,60%,16度,冷酒 / 常温 / ぬる燗 / 燗酒,広島八反・新千本（国産米100%）,720ml,"3,850円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188373081
賀茂泉酒造,ROCK HOPPER,,,純米吟醸生原酒 ROCK HOPPER,純米吟醸,不明,,70%,15度,ロック,山田錦100％(東広島市造賀地区産米100％),"720ml / 1,800ml","4,070円",一般流通,2026-08-07時点で720ml完売。終売とは確認できない,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,,蔵元限定 山田錦 純米吟醸生酒,純米吟醸,不明,,,,ロック,,,,限定流通,2026-08-07公式直売所で販売中を確認,https://kamoizumi.co.jp/syusenkan/s_detail.php?id=510
賀茂泉酒造,賀茂泉,,,青泉純米吟醸生酒,純米吟醸,不明,,60%,15度,ロック,山田錦100％(東広島市造賀地区産米100％),,,季節商品,,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,,延寿,純米大吟醸,不明,,50%,16度,常温 / ぬる燗 / ロック,広島県産山田錦100%,"300ml / 720ml / 1,800ml","1,298～7,150円",一般流通,公式オンラインショップで販売確認,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,,皇寿,純米大吟醸,中口,+1.0,40%,16度,常温 / ぬる燗 / ロック,東広島市造賀地区産山田錦100%,"180ml / 720ml / 1,800ml","1,100～12,100円",一般流通,公式オンラインショップで販売確認,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,,純米大吟醸,純米大吟醸,不明,,50%,16度,冷酒 / 冷やして / 燗酒,広島県産山田錦100%,500ml,"1,760円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188371835
賀茂泉酒造,賀茂泉,,,純米大吟醸｢広大｣,純米大吟醸,やや辛口,+3.0,50%,16度,冷酒 / 燗酒,広島県産山田錦100%,720ml,"2,640円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188371751
山陽鶴酒造,山陽鶴,,○,にごり酒,その他,不明,,,,要確認,,,,一般流通,公式五酒セットで代表的なお酒として現行掲載,https://sanyotsuru.jp/archives/product/gosyu
山陽鶴酒造,山陽鶴,,○,大吟醸,大吟醸,不明,,,,冷酒,,,,一般流通,公式五酒セットに現行代表酒として掲載,https://sanyotsuru.jp/archives/product/gosyu
山陽鶴酒造,山陽鶴,,○,上撰,普通酒・上撰,不明,,,,常温 / 熱燗（提供例）,,,,一般流通,公式五酒セットに現行代表酒として掲載,https://sanyotsuru.jp/archives/product/gosyu
山陽鶴酒造,山陽鶴,,○,本醸造,本醸造,不明,,,,冷酒 / 常温 / 燗酒,,,,一般流通,公式五酒セットに現行代表酒として掲載,https://sanyotsuru.jp/archives/product/gosyu
山陽鶴酒造,山陽鶴,,○,純米吟醸,純米吟醸,不明,,,,要確認,,,,一般流通,公式五酒セットに現行代表酒として掲載,https://sanyotsuru.jp/archives/product/gosyu
山陽鶴酒造,山陽鶴,,,大吟醸 ほんと,大吟醸,やや辛口,+4,35%,17度,冷酒 / 常温,山田錦,720ml,,一般流通,現行地域製品DBに販売場所掲載。個別販売SKUを確認。,https://www.buyhiro.com/database/products/products_0549/
山陽鶴酒造,山陽鶴,,,純米大吟醸 KUBO,純米大吟醸,辛口,+4,35%,16度以上17度以下,冷酒,山田錦100%,720ml,,一般流通,2026年6月 東広島10蔵定期便採用／通年返礼品で提供,https://www.furusato.aeon.co.jp/gift-in-return/aaa72316281ae6d75280fb28cb3cae46/
